"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2022","27,640.0","26,800.0","28,760.0","26,800.0","52.86M","3.29%"
"Jan 16, 2022","26,760.0","26,480.0","27,200.0","25,840.0","26.85M","1.21%"
"Jan 09, 2022","26,440.0","26,400.0","27,400.0","26,040.0","35.41M","-0.75%"
"Jan 02, 2022","26,640.0","27,840.0","27,840.0","26,480.0","24.36M","-3.48%"
"Dec 26, 2021","27,600.0","26,640.0","27,640.0","26,320.0","21.53M","4.55%"
"Dec 19, 2021","26,400.0","26,560.0","26,640.0","25,600.0","22.01M","-0.60%"
"Dec 12, 2021","26,560.0","26,840.0","27,040.0","26,400.0","14.97M","-0.60%"
"Dec 05, 2021","26,720.0","25,840.0","26,880.0","25,320.0","23.89M","2.61%"
"Nov 28, 2021","26,040.0","27,040.0","27,600.0","26,040.0","29.28M","-5.92%"
"Nov 21, 2021","27,680.0","26,800.0","28,440.0","26,400.0","50.72M","3.44%"
"Nov 14, 2021","26,760.0","26,720.0","27,120.0","26,000.0","37.18M","0.30%"
"Nov 07, 2021","26,680.0","26,800.0","27,040.0","26,000.0","32.88M","-0.45%"
"Oct 31, 2021","26,800.0","26,240.0","27,280.0","25,920.0","41.91M","1.52%"
"Oct 24, 2021","26,400.0","25,360.0","26,400.0","24,640.0","43.17M","4.43%"
"Oct 17, 2021","25,280.0","25,880.0","26,120.0","25,160.0","24.96M","-1.86%"
"Oct 10, 2021","25,760.0","25,280.0","26,320.0","25,280.0","26.60M","2.38%"
"Oct 03, 2021","25,160.0","25,040.0","25,320.0","24,480.0","21.92M","-0.16%"
"Sep 26, 2021","25,200.0","25,760.0","25,920.0","24,880.0","27.21M","-1.56%"
"Sep 19, 2021","25,600.0","25,600.0","25,840.0","25,160.0","29.81M","1.27%"
"Sep 12, 2021","25,280.0","25,840.0","25,840.0","24,920.0","28.40M","-2.17%"
"Sep 05, 2021","25,840.0","25,760.0","26,200.0","25,560.0","34.54M","0.94%"
"Aug 29, 2021","25,600.0","25,440.0","26,200.0","25,280.0","27.84M","0.79%"
"Aug 22, 2021","25,400.0","26,800.0","26,880.0","24,640.0","53.21M","-5.51%"
"Aug 15, 2021","26,880.0","28,280.0","28,960.0","26,440.0","72.77M","-4.95%"
"Aug 08, 2021","28,280.0","28,320.0","29,480.0","27,440.0","91.83M","-0.56%"
"Aug 01, 2021","28,440.0","28,400.0","28,920.0","28,000.0","60.36M","-1.66%"
"Jul 25, 2021","28,920.0","26,080.0","28,920.0","25,640.0","76.00M","9.55%"
"Jul 18, 2021","26,400.0","26,320.0","27,600.0","25,560.0","51.70M","-1.79%"
"Jul 11, 2021","26,880.0","27,600.0","27,800.0","24,880.0","58.56M","-4.55%"
"Jul 04, 2021","28,160.0","29,040.0","30,560.0","27,200.0","69.41M","-2.49%"
"Jun 27, 2021","28,880.0","29,360.0","29,560.0","28,080.0","51.30M","-0.69%"
"Jun 20, 2021","29,080.0","27,920.0","29,280.0","27,720.0","62.49M","3.86%"
"Jun 13, 2021","28,000.0","27,720.0","28,960.0","26,800.0","66.18M","1.01%"
"Jun 06, 2021","27,720.0","28,736.0","28,736.0","25,600.0","100.34M","-4.39%"
"May 30, 2021","28,992.0","25,280.0","29,632.0","24,960.0","101.49M","16.45%"
"May 23, 2021","24,896.0","24,224.0","25,056.0","23,840.0","70.70M","3.73%"
"May 16, 2021","24,000.0","23,680.0","24,512.0","22,976.0","72.99M","2.88%"
"May 09, 2021","23,328.0","22,528.0","23,648.0","22,528.0","78.28M","3.55%"
"May 02, 2021","22,528.0","21,760.0","22,944.0","21,440.0","73.02M","1.59%"
"Apr 25, 2021","22,176.0","21,376.0","22,176.0","20,864.0","55.99M","3.74%"
"Apr 18, 2021","21,376.0","21,440.0","22,016.0","20,544.0","40.61M","0.91%"
"Apr 11, 2021","21,184.0","22,144.0","22,720.0","20,928.0","69.40M","-3.78%"
"Apr 04, 2021","22,016.0","22,592.0","22,592.0","21,856.0","49.20M","-0.72%"
"Mar 28, 2021","22,176.0","21,056.0","22,400.0","20,736.0","69.44M","6.78%"
"Mar 21, 2021","20,768.0","21,792.0","21,824.0","20,064.0","70.70M","-3.99%"
"Mar 14, 2021","21,632.0","21,120.0","21,920.0","20,864.0","74.69M","2.58%"
"Mar 07, 2021","21,088.0","20,800.0","21,248.0","19,904.0","77.09M","1.54%"
"Feb 28, 2021","20,768.0","21,376.0","21,408.0","20,224.0","73.57M","-1.82%"
"Feb 21, 2021","21,152.0","20,160.0","21,344.0","19,840.0","114.55M","6.27%"
"Feb 14, 2021","19,904.0","18,432.0","19,936.0","18,368.0","68.11M","8.93%"
"Feb 07, 2021","18,272.0","18,240.0","18,400.0","17,408.0","18.30M","0.18%"
"Jan 31, 2021","18,240.0","17,152.0","18,336.0","16,832.0","48.42M","6.34%"
"Jan 24, 2021","17,152.0","18,112.0","18,336.0","15,680.0","70.22M","-6.46%"
"Jan 17, 2021","18,336.0","19,424.0","19,520.0","16,832.0","71.55M","-5.29%"
"Jan 10, 2021","19,360.0","19,520.0","19,776.0","18,688.0","71.39M","0.17%"
"Jan 03, 2021","19,328.0","18,272.0","19,584.0","18,112.0","113.30M","7.47%"
"Dec 27, 2020","17,984.0","18,112.0","18,112.0","17,664.0","41.00M","0.54%"
"Dec 20, 2020","17,888.0","18,240.0","18,752.0","16,960.0","103.59M","-1.58%"
"Dec 13, 2020","18,176.0","18,112.0","18,464.0","17,856.0","78.68M","0.71%"
"Dec 06, 2020","18,048.0","17,984.0","18,528.0","17,792.0","59.21M","3.30%"
"Nov 29, 2020","17,472.0","17,536.0","17,536.0","17,152.0","28.43M","0.37%"
