"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2020","17,000.0","16,850.0","17,100.0","16,550.0","1.86M","1.80%"
"Sep 06, 2020","16,700.0","17,100.0","17,200.0","16,650.0","1.19M","-2.05%"
"Aug 30, 2020","17,050.0","17,500.0","17,600.0","16,950.0","1.00M","-2.29%"
"Aug 23, 2020","17,450.0","16,850.0","17,700.0","16,750.0","1.56M","2.95%"
"Aug 16, 2020","16,950.0","16,800.0","17,500.0","16,500.0","1.34M","-0.29%"
"Aug 09, 2020","17,000.0","16,900.0","17,000.0","16,550.0","917.73K","0.59%"
"Aug 02, 2020","16,900.0","16,250.0","17,000.0","16,200.0","730.32K","2.11%"
"Jul 26, 2020","16,550.0","16,400.0","17,650.0","15,600.0","1.68M","-1.49%"
"Jul 19, 2020","16,800.0","17,200.0","17,600.0","16,350.0","771.86K","-3.72%"
"Jul 12, 2020","17,450.0","17,600.0","17,700.0","16,800.0","1.19M","-0.85%"
"Jul 05, 2020","17,600.0","17,850.0","17,850.0","17,200.0","518.38K","-1.40%"
"Jun 28, 2020","17,850.0","17,600.0","18,050.0","17,150.0","316.18K","0.56%"
"Jun 21, 2020","17,750.0","18,000.0","18,250.0","17,500.0","289.56K","-2.74%"
"Jun 14, 2020","18,250.0","17,900.0","18,400.0","17,700.0","625.83K","1.96%"
"Jun 07, 2020","17,900.0","17,900.0","18,300.0","17,550.0","1.07M","1.13%"
"May 31, 2020","17,700.0","17,450.0","18,150.0","17,100.0","1.64M","2.31%"
"May 24, 2020","17,300.0","16,700.0","17,600.0","16,500.0","2.11M","2.37%"
"May 17, 2020","16,900.0","15,400.0","17,500.0","15,300.0","2.92M","9.03%"
"May 10, 2020","15,500.0","15,250.0","15,600.0","14,200.0","2.07M","1.64%"
"May 03, 2020","15,250.0","14,800.0","15,550.0","14,700.0","2.28M","1.67%"
"Apr 26, 2020","15,000.0","15,100.0","15,300.0","14,850.0","1.11M","-1.96%"
"Apr 19, 2020","15,300.0","15,300.0","15,700.0","14,850.0","2.33M","0.66%"
"Apr 12, 2020","15,200.0","15,150.0","15,600.0","14,850.0","1.45M","0.33%"
"Apr 05, 2020","15,150.0","15,200.0","15,500.0","14,650.0","2.60M","-0.33%"
"Mar 29, 2020","15,200.0","14,800.0","15,700.0","14,000.0","2.85M","-3.18%"
"Mar 22, 2020","15,700.0","16,000.0","16,300.0","14,500.0","1.15M","-1.57%"
"Mar 15, 2020","15,950.0","16,400.0","16,400.0","15,100.0","1.70M","-2.74%"
"Mar 08, 2020","16,400.0","16,100.0","17,150.0","15,550.0","1.56M","-4.65%"
"Mar 01, 2020","17,200.0","16,950.0","17,800.0","16,750.0","1.86M","0.00%"
"Feb 23, 2020","17,200.0","17,300.0","17,350.0","16,500.0","345.60K","-0.58%"
"Feb 16, 2020","17,300.0","17,400.0","17,550.0","16,900.0","673.15K","0.00%"
"Feb 09, 2020","17,300.0","17,500.0","17,650.0","17,150.0","537.09K","-1.14%"
"Feb 02, 2020","17,500.0","17,350.0","17,800.0","16,650.0","460.93K","-1.96%"
"Jan 26, 2020","17,850.0","17,300.0","18,400.0","17,000.0","338.83K","2.29%"
"Jan 19, 2020","17,450.0","17,550.0","17,850.0","17,200.0","167.90K","-1.97%"
"Jan 12, 2020","17,800.0","18,000.0","18,100.0","17,250.0","952.38K","-1.11%"
"Jan 05, 2020","18,000.0","17,100.0","18,200.0","17,100.0","934.57K","4.35%"
"Dec 29, 2019","17,250.0","17,000.0","17,900.0","16,600.0","424.55K","2.07%"
"Dec 22, 2019","16,900.0","16,950.0","17,800.0","16,650.0","325.74K","-0.29%"
"Dec 15, 2019","16,950.0","16,600.0","17,000.0","16,550.0","439.41K","0.89%"
"Dec 08, 2019","16,800.0","16,950.0","16,950.0","16,400.0","499.28K","-0.88%"
"Dec 01, 2019","16,950.0","17,100.0","17,100.0","16,450.0","366.21K","-0.88%"
"Nov 24, 2019","17,100.0","17,000.0","17,350.0","16,700.0","250.71K","0.59%"
"Nov 17, 2019","17,000.0","18,850.0","18,850.0","16,550.0","986.63K","-9.81%"
"Nov 10, 2019","18,850.0","17,900.0","18,850.0","17,900.0","1.24M","2.45%"
"Nov 03, 2019","18,400.0","16,450.0","18,950.0","16,300.0","1.02M","11.52%"
"Oct 27, 2019","16,500.0","16,350.0","16,900.0","15,350.0","686.68K","0.00%"
"Oct 20, 2019","16,500.0","16,500.0","16,600.0","16,250.0","126.06K","-0.30%"
"Oct 13, 2019","16,550.0","16,600.0","16,850.0","16,150.0","355.36K","-0.30%"
"Oct 06, 2019","16,600.0","17,000.0","17,000.0","16,400.0","158.09K","-1.78%"
"Sep 29, 2019","16,900.0","16,500.0","17,150.0","16,300.0","402.42K","2.42%"
"Sep 22, 2019","16,500.0","16,800.0","16,800.0","16,250.0","255.85K","-1.79%"
"Sep 15, 2019","16,800.0","16,100.0","16,900.0","16,100.0","411.00K","0.00%"
"Sep 08, 2019","16,800.0","16,900.0","17,000.0","16,550.0","407.98K","-0.59%"
"Sep 01, 2019","16,900.0","16,900.0","17,100.0","16,600.0","566.96K","0.00%"
"Aug 25, 2019","16,900.0","17,300.0","17,300.0","16,650.0","1.13M","-3.15%"
"Aug 18, 2019","17,450.0","17,650.0","17,750.0","17,000.0","290.61K","0.00%"
"Aug 11, 2019","17,450.0","17,400.0","18,000.0","16,850.0","427.56K","-1.41%"
"Aug 04, 2019","17,700.0","17,800.0","18,000.0","17,200.0","818.37K","-0.28%"
"Jul 28, 2019","17,750.0","17,550.0","18,200.0","17,500.0","945.08K","0.57%"
"Jul 21, 2019","17,650.0","18,100.0","18,300.0","17,500.0","487.37K","-3.55%"
"Jul 14, 2019","18,300.0","18,200.0","18,400.0","17,300.0","958.05K","0.55%"
"Jul 07, 2019","18,200.0","18,350.0","18,650.0","18,050.0","429.89K","-0.82%"
"Jun 30, 2019","18,350.0","18,500.0","18,850.0","18,300.0","368.21K","-2.39%"
"Jun 23, 2019","18,800.0","18,200.0","18,800.0","18,200.0","749.15K","2.73%"
